symbol,sector,company,total_rows,unique_dates,duplicated_dates,invalid_days,valid_days,first_date,last_date,first_invalid_date,last_invalid_date,has_complete_history,eligible_sector,selected_melody70,exclusion_reason,daily_files,selected_tweets,selected_weekday_tweets,selected_weekend_tweets,invalid_json_lines
AAPL,Consumer Goods,Apple Inc.,504,504,0,0,504,2014-01-02,2015-12-31,,,True,True,True,,696,18365,15625,2740,0
ABB,Industrial Goods,ABB Ltd,504,504,0,0,504,2014-01-02,2015-12-31,,,True,True,True,,71,79,73,6,0
ABBV,Healthcare,AbbVie Inc.,504,504,0,0,504,2014-01-02,2015-12-31,,,True,True,True,,382,782,648,134,0
AEP,Utilities,American Electric Power Inc.,504,504,0,0,504,2014-01-02,2015-12-31,,,True,True,True,,142,190,153,37,0
AGFS,Conglomerates,AgroFresh Solutions Inc.,504,504,0,253,251,2014-01-02,2015-12-31,2014-01-02,2015-01-02,False,False,False,incomplete_price_history,0,0,0,0,0
AMGN,Healthcare,Amgen Inc.,504,504,0,0,504,2014-01-02,2015-12-31,,,True,True,True,,398,857,722,135,0
AMZN,Services,Amazon.com Inc.,504,504,0,0,504,2014-01-02,2015-12-31,,,True,False,False,sector_has_fewer_than_10_valid_stocks,0,0,0,0,0
BA,Industrial Goods,The Boeing Company,504,504,0,0,504,2014-01-02,2015-12-31,,,True,True,True,,441,886,723,163,0
BABA,Services,Alibaba Group Holding,504,504,0,209,295,2014-01-02,2015-12-31,2014-01-02,2014-10-29,False,False,False,incomplete_price_history,0,0,0,0,0
BAC,Financial,Bank of America,504,504,0,0,504,2014-01-02,2015-12-31,,,True,True,True,,588,2283,1995,288,0
BBL,Basic Materials,BHP Billiton plc,504,504,0,0,504,2014-01-02,2015-12-31,,,True,True,True,,75,84,80,4,0
BCH,Financial,Banco de Chile,504,504,0,0,504,2014-01-02,2015-12-31,,,True,True,True,,9,9,5,4,0
BHP,Basic Materials,BHP Billiton Limited,504,504,0,0,504,2014-01-02,2015-12-31,,,True,True,True,,230,324,290,34,0
BP,Basic Materials,BP p.l.c.,504,504,0,0,504,2014-01-02,2015-12-31,,,True,True,True,,336,572,498,74,0
BRK-A,Financial,Berkshire Hathaway Inc.,504,504,0,0,504,2014-01-02,2015-12-31,,,True,True,True,,13,15,15,0,0
BSAC,Financial,Banco Santander-Chile,504,504,0,0,504,2014-01-02,2015-12-31,,,True,True,True,,14,15,12,3,0
BUD,Consumer Goods,Anheuser-Busch InBev SA/NV Company,504,504,0,0,504,2014-01-02,2015-12-31,,,True,True,True,,127,188,152,36,0
C,Financial,Citigroup Inc.,504,504,0,0,504,2014-01-02,2015-12-31,,,True,True,True,,618,2190,1808,382,0
CAT,Industrial Goods,Caterpillar Inc.,504,504,0,0,504,2014-01-02,2015-12-31,,,True,True,True,,428,1026,848,178,0
CELG,Healthcare,Celgene Corporation,504,504,0,0,504,2014-01-02,2015-12-31,,,True,True,True,,476,1314,1069,245,0
CHL,Technology,China Mobile Limited,504,504,0,0,504,2014-01-02,2015-12-31,,,True,True,True,,127,215,161,54,0
CHTR,Services,Charter Communications Inc.,504,504,0,0,504,2014-01-02,2015-12-31,,,True,False,False,sector_has_fewer_than_10_valid_stocks,0,0,0,0,0
CMCSA,Services,Comcast Corporation,504,504,0,0,504,2014-01-02,2015-12-31,,,True,False,False,sector_has_fewer_than_10_valid_stocks,0,0,0,0,0
CODI,Conglomerates,Compass Diversified Holdings,504,504,0,0,504,2014-01-02,2015-12-31,,,True,False,False,sector_has_fewer_than_10_valid_stocks,0,0,0,0,0
CSCO,Technology,Cisco Systems Inc.,504,504,0,0,504,2014-01-02,2015-12-31,,,True,True,True,,514,1358,1141,217,0
CVX,Basic Materials,Chevron Corporation,504,504,0,0,504,2014-01-02,2015-12-31,,,True,True,True,,462,1092,879,213,0
D,Utilities,Dominion Energy Inc.,504,504,0,0,504,2014-01-02,2015-12-31,,,True,True,True,,638,4411,3289,1122,0
DHR,Industrial Goods,Danaher Corporation,504,504,0,0,504,2014-01-02,2015-12-31,,,True,True,True,,120,163,136,27,0
DIS,Services,The Walt Disney,504,504,0,0,504,2014-01-02,2015-12-31,,,True,False,False,sector_has_fewer_than_10_valid_stocks,0,0,0,0,0
DUK,Utilities,Duke Energy Corporation,504,504,0,0,504,2014-01-02,2015-12-31,,,True,True,True,,160,212,167,45,0
EXC,Utilities,Exelon Corporation,504,504,0,0,504,2014-01-02,2015-12-31,,,True,True,True,,172,241,206,35,0
FB,Technology,Facebook Inc.,504,504,0,0,504,2014-01-02,2015-12-31,,,True,True,True,,692,10724,9109,1615,0
