Data,Abertura,Max,Min,Fechamento,MME9,MME21,BB20 Superior,BB20 Inferior,VWAP M,RSI9,Volume Financeiro,MMA9 VF
2025-04-11,5850.5,5936,5833,5882.5,5860.72,5830.54,5976.64,5604.5,5864.59,54.52,80.84,94.47
2025-04-10,5879.5,5974.5,5842.5,5899,5855.27,5825.34,5967.5,5604.94,5861.96,56.07,86.92,95.84
2025-04-09,6047,6117.5,5836.5,5842.5,5844.34,5817.97,5960.57,5607.31,5854.31,51.91,131.65,94.45
2025-04-08,5900,6042,5883.5,6037,5844.8,5815.52,5962.48,5606.94,5818.53,73.07,94.18,87.46
2025-04-07,5900,5959.5,5840.5,5940,5796.75,5793.37,5916.77,5635.28,5787.08,67.14,117.05,85.35
2025-04-04,5723.5,5883.5,5723,5883.5,5760.94,5778.71,5909.27,5639.99,5743.85,62.9,136.89,82.79
2025-04-03,5654,5671.5,5619.5,5661.5,5730.3,5768.23,5901.95,5643.39,5692.02,32.52,74.17,74.61
2025-04-02,5707,5742,5675,5719.5,5747.5,5778.91,5901.31,5660.35,5721.34,40.15,74.01,73.18
2025-04-01,5746,5762,5702.5,5711.5,5754.5,5784.85,5902.21,5667.5,5728.43,38.38,54.48,72.65
2025-03-31,5797,5816.5,5730,5734,5765.25,5792.18,5926.83,5665.81,5790.84,41.45,93.24,73.70
2025-03-28,5779.95,5814.13,5778.44,5790,5773.06,5798,5940.77,5669.24,5792.2,50.37,74.38,70.99
2025-03-27,5761.85,5805.58,5756.33,5774.42,5768.83,5798.8,5948.78,5670.15,5791.96,47.58,68.71,70.46
2025-03-26,5735.72,5782.46,5728.68,5771.91,5767.43,5801.24,5949.92,5673.12,5792.65,47.16,75.23,72.12
2025-03-25,5791.51,5791.51,5713.6,5736.72,5766.31,5804.17,5953.18,5677.3,5794.63,41.21,93.98,70.46
2025-03-24,5752.3,5811.11,5741.25,5799.05,5773.71,5810.91,5952.23,5685.87,5799.94,50.08,63.30,67.10
2025-03-21,5729.69,5776.93,5722.15,5763.36,5767.37,5812.1,5952.09,5684.61,5801.25,43.94,61.29,67.96
2025-03-20,5702.55,5724.66,5689.48,5718.13,5768.37,5816.97,5951.91,5688.74,5804.35,34.92,69.20,68.44
2025-03-19,5725.67,5736.22,5675.41,5692.49,5780.93,5826.86,5948.16,5697.91,5813.18,29.18,63.93,69.20
2025-03-18,5750.29,5760.35,5701.04,5719.13,5803.04,5840.3,5939.05,5717.44,5823.61,31.77,68.89,70.84
2025-03-17,5788.99,5789.5,5713.1,5735.22,5824.02,5852.41,5932.49,5731.05,5834.62,33.36,69.62,69.57
2025-03-14,5842.27,5842.77,5761.85,5795.53,5846.22,5864.13,5928.18,5746.88,5846.11,40.03,83.63,72.90
2025-03-13,5879.46,5888.01,5843.28,5853.33,5858.9,5870.99,5929.63,5751.73,5856.03,48.25,60.30,71.77
2025-03-12,5868.41,5900.07,5838.75,5857.85,5860.29,5872.76,5930.25,5751.83,5854.89,48.95,63.74,75.96
2025-03-11,5896.05,5903.59,5858.35,5863.38,5860.9,5874.25,5933.44,5751.38,5852.16,49.73,71.04,77.04
2025-03-10,5847.8,5929.22,5828.7,5912.13,5860.28,5875.34,5939.1,5749.84,5843.71,56.85,65.59,76.88
2025-03-07,5823.17,5857.85,5810.61,5844.28,5847.32,5871.66,5931.64,5752.09,5833.5,47.56,76.02,77.25
2025-03-06,5812.11,5840.76,5792.01,5824.68,5848.08,5874.39,5937.12,5751.68,5831.67,44.49,78.77,75.40
2025-03-05,5890.52,5908.61,5799.05,5800.05,5853.93,5879.36,5938.25,5753.53,5853.08,40.6,57.40,74.36
2025-02-28,5899.07,5981.49,5886,5940.78,5867.4,5887.3,5945.46,5757.43,5855.77,62.99,99.66,75.42
2025-02-27,5893.43,5916.22,5871.66,5907.61,5849.05,5881.95,5947.9,5755.97,5850.1,58.16,73.40,68.61
2025-02-26,5813.93,5904.57,5807.86,5879.25,5834.41,5879.38,5963.99,5747.02,5847.35,53.55,98.03,69.32
2025-02-25,5842.8,5890.39,5814.44,5815.45,5823.2,5879.39,5976.06,5742.64,5846.58,40.41,73.45,66.63
2025-02-24,5798.24,5863.05,5784.57,5846.34,5825.14,5885.79,5989.2,5743.92,5846.45,46.01,69.56,67.97
2025-02-21,5788.11,5815.96,5772.92,5812.92,5819.84,5889.73,6009.79,5738.84,5848.75,37.71,68.93,66.71
2025-02-20,5788.62,5797.73,5766.84,5785.07,5821.56,5897.41,6030.82,5738.43,5853.01,29.71,59.45,64.57
2025-02-19,5791.65,5813.93,5763.3,5802.79,5830.69,5908.65,6049.95,5744.39,5857.84,32.04,69.35,67.49
2025-02-18,5794.69,5807.35,5757.73,5772.41,5837.66,5919.23,6070.57,5748.92,5863.51,22.83,66.99,67.84
2025-02-17,5799.25,5807.35,5780.52,5796.72,5853.97,5933.91,6105.23,5751.04,5870.99,25.26,38.30,67.29
2025-02-14,5851.91,5856.47,5777.48,5789.63,5868.29,5947.63,6134.07,5756.45,5875.16,23.13,79.84,70.57
2025-02-13,5854.44,5887.86,5844.32,5850.39,5887.95,5963.43,6168.64,5762.08,5883.75,29.54,73.83,71.12
